cod_articulo,numero_proveedor,numero_deposito,cantidad,p_pesos,p_dolar
BROCA-41,N/A,1B,4,0,0
BROCA-42,N/A,1B,10,0,0
BROCA-43,N/A,1B,11,0,0
BROCA-44,N/A,1B,5,0,0
BROCA-45,N/A,1B,1,0,0
BROCA-46,N/A,1B,1,0,0
BROCA-47,N/A,1B,1,0,0
BROCA-48,N/A,1B,10,0,0
BROCA-49,N/A,1B,2,0,0
SC-04,N/A,1B,1,0,0
SC-05,N/A,1B,4,0,0
SC-06,N/A,1B,1,0,0
SC-07,N/A,1B,1,0,0
SC-08,N/A,1B,2,0,0
SC-09,N/A,1B,2,0,0
SC-10,N/A,1B,1,0,0
SC-11,N/A,1B,1,0,0
SC-12,N/A,1B,1,0,0
SC-13,N/A,1B,4,0,0
SC-14,N/A,1B,4,0,0
SC-15,N/A,1B,10,0,0
SC-16,N/A,1B,1,0,0
SC-17,N/A,1B,2,0,0
SC-18,N/A,1B,1,0,0
SC-19,N/A,1B,3,0,0
MAN-01,N/A,1B,1,0,0
MAN-02,N/A,1B,1,0,0
MAN-03,N/A,1B,1,0,0
MAN-04,N/A,1B,1,0,0
MANGUITO-01,N/A,1B,4,0,0
MANGUITO-02,N/A,1B,24,0,0
MANGUITO-03,N/A,1B,36,0,0
MANGUITO-04,N/A,1B,1,0,0
1580,N/A,1B,2,0,0
1581,N/A,1B,13,0,0
SC-20,N/A,1B,5,0,0
SC-21,N/A,1B,3,0,0
SC-22,N/A,1B,1,0,0
SC-23,N/A,1B,2,0,0
SC-24,N/A,1B,1,0,0
SC-25,N/A,1B,1,0,0
SC-26,N/A,1B,6,0,0
SC-27,N/A,1B,1,0,0
SC-28,N/A,1B,1,0,0
SC-29,N/A,1B,6,0,0
SC-30,N/A,1B,1,0,0
SC-31,N/A,1B,14,0,0
SC-32,N/A,1B,15,0,0
SC-33,N/A,1B,2,0,0
SC-34,N/A,1B,1,0,0
1583,N/A,1B,2,0,0
1590,N/A,1B,1,0,0
BROCA-50,ROCKMORE,1B,1,0,0
BROCA-51,ROCKMORE,1B,2,0,680
BROCA-52,SDVK,1B,2,0,0
BROCA-53,BOART,1B,11,0,318
BROCA-54,ROBIT,1B,1,0,0
BROCA-55,BOART,1B,5,0,0
BROCA-56,ATLAS,1B,0,0,350
BROCA-57,ROBIT,1B,10,0,201.5
BROCA-58,ROBIT,1B,10,0,201.5
