CÓDIGO,UNIDAD DE MEDIDA,DESCRIPCIÓN
0003-0141-000,UN,LLAVE DE TUBO, SOLD.
0003-0145-000,UN,LLAVE DE TUBO, SOLD.
0003-0146-000,UN,PROLONGACIÓN
0003-0150-300,UN,GANCHO
0003-0151-000,UN,GANCHO
0003-0152-000,UN,GANCHO
0003-0156-000,UN,GANCHO
0003-0161-300,UN,TUBO DE LLENADO DE ACEITE, SOLD.
0003-0168-890,UN,TOLVA
0003-0170-800,UN,TAPÓN
0003-0178-320,UN,LLAVE
0003-0180-800,UN,TAPÓN
0003-0181-800,UN,TAPÓN
0003-0183-100,UN,LLAVE DE TUBO, SOLD.
0003-0190-100,UN,LLAVE DE TUBO, SOLD.
0003-0199-600,UN,PERCUTOR
0003-0203-030,UN,LLAVE DE TUBO, COMP.
0003-0204-100,UN,BOMBA DE ENGRASE MANUAL
0003-0206-100,UN,LLAVE DE TUBO, SOLD.
0003-0210-950,UN,RASQUETA
0003-0211-950,UN,RASQUETA
0003-0216-000,UN,CINCEL, COMP.
0003-0217-030,UN,CINCEL
0003-0218-000,UN,LLAVE DE TUBO
0003-0220-030,UN,LLAVE DE TUBO, COMP.
0003-0226-100,UN,LLAVE DE TUBO, SOLD.
0003-0232-030,UN,LLAVE ANULAR, SOLD.
0003-0243-800,UN,TAPÓN
0003-0254-030,UN,LLAVE DE CLAVIJAS, SOLD.
0003-0256-890,UN,ACEITERA DE PRESIÓN
0003-0258-030,UN,LLAVE, SOLD.
0003-0259-030,UN,LLAVE DE TUBO, COMP.
0003-0261-810,UN,CEPILLO DE LIMPIEZA
0003-0276-800,UN,CUBETA DE ACEITE
0003-0277-800,UN,CUBETA DE ACEITE
0003-0281-320,UN,LLAVE
0003-0286-000,UN,LLAVE DINAMOMÉTRICA
0003-0289-280,UN,MANDRIL
0003-0308-030,UN,LLAVE DE CLAVIJAS, SOLD.
0003-0310-000,UN,LLAVE DE ESPIGAS
0003-0329-000,UN,INSERTO, COMP.
0003-0330-030,UN,LLAVE DE TUBO, COMP.
0003-0332-100,UN,LLAVE DE TUBO, SOLD.
0003-0335-030,UN,LLAVE ANULAR
0003-0343-000,UN,LLAVE DE CLAVIJA, COMP.
0003-0345-000,UN,LLAVE ANULAR, COMP.
0003-0346-000,UN,LLAVE ANULAR, SOLD.
0003-0347-030,UN,LLAVE ANULAR
